artist_id,debut_year,latest_year,total_works,notable_works,first_notoriety,last_notoriety,genre_diversity,notoriety_lag,career_span,is_performer,is_recent_debut,recent_notable_works,outbound_influence,years_since_notoriety,notoriety_recency_score,collab_with_popular_count,recent_collab_count,collab_growth_rate,recent_inbound_influence,genre_alignment_score,prestige_label_count,prestige_group_count,prestige_score,influenced_by_popular_score,role_diversity,of_genre_works,of_influence_edges,of_alignment,id,name,stage_name,display_name,recent_collab_norm_pre,growth_norm_pre,collab_score,recent_notable_works_norm,outbound_influence_norm,collab_with_popular_count_norm,recent_inbound_influence_norm,genre_alignment_score_norm,genre_diversity_norm,prestige_score_norm,influenced_by_popular_score_norm,role_diversity_norm,notoriety_recency_score_norm,collab_score_norm,rising_star_score,rank,was_in_group,was_in_high_influence_group,group_name,group_prestige,group_inbound_influence,group_notable_works
8,2026,2026,2,1,,,1,,0,True,True,0,24,,0.0,2,0,0.0,0,0,1,1,2,8,2,0,0,0,8.0,David Franklin,,David Franklin,0.0,0.0,0.0,0.0,1.0,0.2857142857142857,0.0,0.0,0.0,0.4,1.0,0.5,0.0,0.0,0.2493,12.0,True,False,Green Haze Collective,1,0,1
16,2027,2027,1,0,,,1,,0,True,True,0,1,,0.0,0,0,0.0,0,0,1,0,1,0,3,0,0,0,16.0,Timothy Shea,,Timothy Shea,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0458,940.0,False,False,None,0,0,0
17,2027,2027,1,0,,,1,,0,True,True,0,1,,0.0,0,0,0.0,0,0,1,0,1,0,2,0,0,0,17.0,Philippine Colin,,Philippine Colin,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.0,0.2,0.0,0.5,0.0,0.0,0.0308,1542.0,False,False,None,0,0,0
19,2027,2027,1,0,,,1,,0,True,True,0,1,,0.0,0,0,0.0,0,0,1,0,1,0,2,0,0,0,19.0,Jordan Mullins,,Jordan Mullins,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.0,0.2,0.0,0.5,0.0,0.0,0.0308,1542.0,False,False,None,0,0,0
44,2029,2029,1,1,,,1,,0,True,True,0,3,,0.0,0,0,0.0,0,0,1,0,1,1,1,0,0,0,44.0,Jennifer Smith,,Jennifer Smith,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.2,0.125,0.0,0.0,0.0,0.0325,1451.0,False,False,None,0,0,0
45,2029,2029,1,1,,,1,,0,True,True,0,3,,0.0,0,0,0.0,0,0,1,0,1,1,2,0,0,0,45.0,Kyle Anderson,,Kyle Anderson,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.2,0.125,0.5,0.0,0.0,0.0475,918.0,False,False,None,0,0,0
114,2027,2027,1,1,,,1,,0,True,True,0,7,,0.0,2,0,0.0,0,0,2,0,2,1,3,0,0,0,114.0,Jie Long,,Jie Long,0.0,0.0,0.0,0.0,0.2916666666666666,0.2857142857142857,0.0,0.0,0.0,0.4,0.125,1.0,0.0,0.0,0.1301,109.0,False,False,None,0,0,0
122,2025,2025,1,1,,,1,,0,True,True,0,1,,0.0,0,0,0.0,0,0,1,0,1,0,1,0,0,0,122.0,Sabina Hrušková,,Sabina Hrušková,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0158,2169.0,False,False,None,0,0,0
123,2025,2025,1,1,,,1,,0,True,True,0,1,,0.0,0,0,0.0,0,0,1,0,1,0,1,0,0,0,123.0,Naděžda Pešková,,Naděžda Pešková,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0158,2169.0,False,False,None,0,0,0
124,2025,2025,1,1,,,1,,0,True,True,0,1,,0.0,0,0,0.0,0,0,1,0,1,0,1,0,0,0,124.0,Michal Žák,,Michal Žák,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0158,2169.0,False,False,None,0,0,0
125,2025,2025,1,1,,,1,,0,True,True,0,1,,0.0,0,0,0.0,0,0,1,0,1,0,1,0,0,0,125.0,Miluše Dušková,,Miluše Dušková,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0158,2169.0,False,False,None,0,0,0
126,2025,2025,2,2,,,2,,0,True,True,0,2,,0.0,0,0,0.0,0,0,1,0,1,0,3,0,0,0,126.0,Miloš Pokorný,,Miloš Pokorný,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.3333333333333333,0.2,0.0,1.0,0.0,0.0,0.075,405.0,False,False,None,0,0,0
131,2026,2026,1,1,,,1,,0,True,True,0,2,,0.0,0,0,0.0,0,0,1,0,1,0,1,0,0,0,131.0,Li Lin,,Li Lin,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0217,1958.0,False,False,None,0,0,0
132,2026,2026,1,1,,,1,,0,True,True,0,2,,0.0,0,0,0.0,0,0,1,0,1,0,1,0,0,0,132.0,Jie Yu,,Jie Yu,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0217,1958.0,False,False,None,0,0,0
134,2026,2026,1,1,,,1,,0,True,True,0,2,,0.0,0,0,0.0,0,0,1,0,1,0,1,0,0,0,134.0,Steven Cordova,,Steven Cordova,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0217,1958.0,False,False,None,0,0,0
135,2026,2026,1,1,,,1,,0,True,True,0,2,,0.0,0,0,0.0,0,0,1,0,1,0,1,0,0,0,135.0,Xia Chang,,Xia Chang,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0217,1958.0,False,False,None,0,0,0
136,2026,2026,1,1,,,1,,0,True,True,0,2,,0.0,0,0,0.0,0,0,1,0,1,0,1,0,0,0,136.0,Fang Kong,,Fang Kong,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0217,1958.0,False,False,None,0,0,0
170,2026,2028,2,2,,,2,,2,True,True,0,6,,0.0,1,0,4.5,0,0,2,0,2,1,3,0,0,0,170.0,Chao Yu,,Chao Yu,0.0,0.45,0.1575,0.0,0.25,0.1428571428571428,0.0,0.0,0.3333333333333333,0.4,0.125,1.0,0.0,0.1575,0.1462,81.0,False,False,None,0,0,0
171,2026,2026,1,1,,,1,,0,True,True,0,3,,0.0,1,0,0.0,0,0,1,0,1,0,2,0,0,0,171.0,Chao Qiao,,Chao Qiao,0.0,0.0,0.0,0.0,0.125,0.1428571428571428,0.0,0.0,0.0,0.2,0.0,0.5,0.0,0.0,0.0596,619.0,False,False,None,0,0,0
189,2025,2025,1,1,,,1,,0,True,True,0,0,,0.0,4,0,0.0,0,0,1,0,1,0,2,0,0,0,189.0,Alma Davids,,Alma Davids,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.2,0.0,0.5,0.0,0.0,0.0936,270.0,False,False,None,0,0,0
211,2029,2029,1,1,2029.0,2029.0,1,0.0,0,True,True,0,11,11.0,0.0,0,0,0.0,0,0,1,0,1,4,1,0,0,0,211.0,Jing Han,,Jing Han,0.0,0.0,0.0,0.0,0.4583333333333333,0.0,0.0,0.0,0.0,0.2,0.5,0.0,0.0,0.0,0.0942,262.0,False,False,None,0,0,0
212,2029,2029,1,1,2029.0,2029.0,1,0.0,0,True,True,0,11,11.0,0.0,0,0,0.0,0,0,1,0,1,4,2,0,0,0,212.0,Jun Yao,,Jun Yao,0.0,0.0,0.0,0.0,0.4583333333333333,0.0,0.0,0.0,0.0,0.2,0.5,0.5,0.0,0.0,0.1092,179.0,False,False,None,0,0,0
214,2029,2029,1,1,2029.0,2029.0,1,0.0,0,True,True,0,11,11.0,0.0,0,0,0.0,0,0,1,0,1,4,2,0,0,0,214.0,Qiang Cai,,Qiang Cai,0.0,0.0,0.0,0.0,0.4583333333333333,0.0,0.0,0.0,0.0,0.2,0.5,0.5,0.0,0.0,0.1092,179.0,False,False,None,0,0,0
215,2029,2029,1,1,2029.0,2029.0,1,0.0,0,True,True,0,11,11.0,0.0,0,0,0.0,0,0,1,0,1,4,1,0,0,0,215.0,Qiang Huang,,Qiang Huang,0.0,0.0,0.0,0.0,0.4583333333333333,0.0,0.0,0.0,0.0,0.2,0.5,0.0,0.0,0.0,0.0942,262.0,False,False,None,0,0,0
261,2029,2029,1,1,,,1,,0,True,True,0,1,,0.0,0,0,0.0,0,0,1,0,1,0,1,0,0,0,261.0,Shawn Hart,,Shawn Hart,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0158,2169.0,False,False,None,0,0,0
280,2026,2026,1,1,2026.0,2026.0,1,0.0,0,True,True,0,1,14.0,0.0,0,0,0.0,0,0,1,0,1,0,2,0,0,0,280.0,George Bailey,,George Bailey,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.0,0.2,0.0,0.5,0.0,0.0,0.0308,1542.0,False,False,None,0,0,0
281,2026,2026,1,1,2026.0,2026.0,1,0.0,0,True,True,0,1,14.0,0.0,0,0,0.0,0,0,1,0,1,0,1,0,0,0,281.0,William Tran,,William Tran,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0158,2169.0,False,False,None,0,0,0
284,2029,2029,1,1,2029.0,2029.0,1,0.0,0,True,True,0,4,11.0,0.0,0,0,0.0,0,0,1,0,1,0,1,0,0,0,284.0,Liza Rijcken,,Liza Rijcken,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0333,1350.0,False,False,None,0,0,0
287,2029,2029,1,1,2029.0,2029.0,1,0.0,0,True,True,0,4,11.0,0.0,0,0,0.0,0,0,1,0,1,0,1,0,0,0,287.0,Ryan van 't Houteveen-Luboch,,Ryan van 't Houteveen-Luboch,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0333,1350.0,False,False,None,0,0,0
288,2029,2029,1,1,2029.0,2029.0,1,0.0,0,True,True,0,4,11.0,0.0,0,0,0.0,0,0,1,0,1,0,2,0,0,0,288.0,Gerlind Sager-Ortmann,,Gerlind Sager-Ortmann,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.2,0.0,0.5,0.0,0.0,0.0483,880.0,False,False,None,0,0,0
289,2029,2029,1,1,2029.0,2029.0,1,0.0,0,True,True,0,4,11.0,0.0,0,0,0.0,0,0,1,0,1,0,1,0,0,0,289.0,Liam de Vrome,,Liam de Vrome,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0333,1350.0,False,False,None,0,0,0
322,2025,2025,1,1,,,1,,0,True,True,0,3,,0.0,0,0,0.0,0,0,1,0,1,1,1,0,0,0,322.0,Kelly Long,,Kelly Long,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.2,0.125,0.0,0.0,0.0,0.0325,1451.0,False,False,None,0,0,0
323,2025,2025,1,1,,,1,,0,True,True,0,3,,0.0,0,0,0.0,0,0,1,0,1,1,1,0,0,0,323.0,Janice Fuentes,,Janice Fuentes,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.2,0.125,0.0,0.0,0.0,0.0325,1451.0,False,False,None,0,0,0
324,2025,2025,1,1,,,1,,0,True,True,0,3,,0.0,0,0,0.0,0,0,1,0,1,1,1,0,0,0,324.0,Samantha Padilla,,Samantha Padilla,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.2,0.125,0.0,0.0,0.0,0.0325,1451.0,False,False,None,0,0,0
325,2025,2025,1,1,,,1,,0,True,True,0,3,,0.0,0,0,0.0,0,0,1,0,1,1,1,0,0,0,325.0,Ryan Pollard,,Ryan Pollard,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.2,0.125,0.0,0.0,0.0,0.0325,1451.0,False,False,None,0,0,0
326,2025,2025,1,1,,,1,,0,True,True,0,3,,0.0,0,0,0.0,0,0,1,0,1,1,1,0,0,0,326.0,Laura Davis,,Laura Davis,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.2,0.125,0.0,0.0,0.0,0.0325,1451.0,False,False,None,0,0,0
