artist_id,debut_year,latest_year,total_works,notable_works,first_notoriety,last_notoriety,genre_diversity,notoriety_lag,career_span,outbound_influence,inbound_influence,of_alignment,out_norm,in_norm,notable_norm,diversity_norm,rising_star_score,id,name,stage_name
1,2017.0,2017.0,1,True,,,1,,0.0,0,0,0,0.0,0.0,0.05,0.0,0.010000000000000002,1.0,Carlos Duffy,
2,2017.0,2017.0,1,True,,,1,,0.0,0,0,0,0.0,0.0,0.05,0.0,0.010000000000000002,2.0,Min Qin,
3,2017.0,2017.0,1,True,,,1,,0.0,0,0,0,0.0,0.0,0.05,0.0,0.010000000000000002,3.0,Xiuying Xie,
7,2013.0,2029.0,7,6,2018.0,2026.0,3,5.0,16.0,17,4,0,0.5483870967741935,0.0851063829787234,0.30000000000000004,0.33333333333333337,0.36304278197208883,7.0,Xiulan Zeng,
8,2026.0,2026.0,2,1,,,1,,0.0,10,0,0,0.3225806451612903,0.0,0.05,0.0,0.13903225806451613,8.0,David Franklin,
13,2020.0,2026.0,2,2,,,2,,6.0,2,0,0,0.06451612903225806,0.0,0.1,0.16666666666666666,0.07913978494623655,13.0,Li Yi,
16,2027.0,2027.0,1,False,,,1,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,16.0,Timothy Shea,
17,2027.0,2027.0,1,False,,,1,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,17.0,Philippine Colin,
19,2027.0,2027.0,1,False,,,1,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,19.0,Jordan Mullins,
20,2020.0,2027.0,3,2,,,2,,7.0,2,1,0,0.06451612903225806,0.02127659574468085,0.1,0.16666666666666666,0.08339510409517273,20.0,Xiuying Meng,
27,2022.0,2022.0,1,True,,,1,,0.0,1,0,0,0.03225806451612903,0.0,0.05,0.0,0.022903225806451613,27.0,Anatol Dietz,The Hollow Lantern
28,2022.0,2022.0,1,True,,,1,,0.0,1,0,0,0.03225806451612903,0.0,0.05,0.0,0.022903225806451613,28.0,Tracy Simpson,
29,2005.0,2022.0,7,7,2010.0,2010.0,1,5.0,17.0,8,2,0,0.25806451612903225,0.0425531914893617,0.35000000000000003,0.0,0.18173644474948525,29.0,Lorraine Martinez,
30,1985.0,2030.0,15,15,1995.0,2010.0,4,10.0,45.0,10,20,0,0.3225806451612903,0.425531914893617,0.75,0.5,0.46413864104323954,30.0,Megan Bennett,
37,2007.0,2007.0,1,True,,,1,,0.0,1,0,0,0.03225806451612903,0.0,0.05,0.0,0.022903225806451613,37.0,Hansh Ramanathan,
40,2010.0,2013.0,2,2,2013.0,2013.0,1,3.0,3.0,1,0,0,0.03225806451612903,0.0,0.1,0.0,0.032903225806451615,40.0,Na Dong,
43,2020.0,2029.0,2,2,,,2,,9.0,1,2,0,0.03225806451612903,0.0425531914893617,0.1,0.16666666666666666,0.07474719743765729,43.0,James Taylor,
44,2029.0,2029.0,1,True,,,1,,0.0,1,0,0,0.03225806451612903,0.0,0.05,0.0,0.022903225806451613,44.0,Jennifer Smith,
45,2029.0,2029.0,1,True,,,1,,0.0,1,0,0,0.03225806451612903,0.0,0.05,0.0,0.022903225806451613,45.0,Kyle Anderson,
50,2017.0,2017.0,1,True,,,1,,0.0,0,0,0,0.0,0.0,0.05,0.0,0.010000000000000002,50.0,Tao Zeng,
51,2017.0,2017.0,1,True,,,1,,0.0,0,0,0,0.0,0.0,0.05,0.0,0.010000000000000002,51.0,Guiying Qin,
52,2017.0,2026.0,3,3,,,3,,9.0,0,0,0,0.0,0.0,0.15000000000000002,0.33333333333333337,0.09666666666666668,52.0,Na Guo,
55,1996.0,2003.0,2,2,,,1,,7.0,0,1,0,0.0,0.02127659574468085,0.1,0.0,0.024255319148936173,55.0,Miki Hasegawa,
56,1996.0,2013.0,3,3,,,1,,17.0,1,1,0,0.03225806451612903,0.02127659574468085,0.15000000000000002,0.0,0.04715854495538779,56.0,Asuka Takahashi,
57,1996.0,1996.0,1,True,,,1,,0.0,0,1,0,0.0,0.02127659574468085,0.05,0.0,0.014255319148936171,57.0,Miki Miura,
63,2023.0,2023.0,1,True,,,1,,0.0,1,1,0,0.03225806451612903,0.02127659574468085,0.05,0.0,0.027158544955387786,63.0,Min Qiao,
64,2023.0,2023.0,1,True,,,1,,0.0,1,1,0,0.03225806451612903,0.02127659574468085,0.05,0.0,0.027158544955387786,64.0,April Morris,
65,2020.0,2023.0,3,3,2020.0,2020.0,2,0.0,3.0,1,1,0,0.03225806451612903,0.02127659574468085,0.15000000000000002,0.16666666666666666,0.08049187828872112,65.0,Sara Parker,
66,2023.0,2023.0,1,True,,,1,,0.0,1,1,0,0.03225806451612903,0.02127659574468085,0.05,0.0,0.027158544955387786,66.0,Gang Su,
67,2013.0,2023.0,4,4,,,2,,10.0,2,3,0,0.06451612903225806,0.06382978723404255,0.2,0.16666666666666666,0.11190574239304507,67.0,Guiying Pan,
72,2017.0,2017.0,1,True,,,1,,0.0,0,0,0,0.0,0.0,0.05,0.0,0.010000000000000002,72.0,Amy Mejia,
73,2017.0,2017.0,1,True,,,1,,0.0,0,0,0,0.0,0.0,0.05,0.0,0.010000000000000002,73.0,Yang Pan,
74,2010.0,2029.0,4,4,2010.0,2025.0,3,0.0,19.0,2,0,0,0.06451612903225806,0.0,0.2,0.33333333333333337,0.13247311827956992,74.0,Min Hu,
75,1999.0,2017.0,4,2,,,3,,18.0,1,7,0,0.03225806451612903,0.14893617021276595,0.1,0.33333333333333337,0.1293571265156715,75.0,Juan Feng,
76,2000.0,2023.0,5,5,2007.0,2007.0,3,7.0,23.0,1,2,0,0.03225806451612903,0.0425531914893617,0.25,0.33333333333333337,0.13808053077099064,76.0,Ming Ren,
82,1996.0,2025.0,4,4,,,3,,29.0,0,3,0,0.0,0.06382978723404255,0.2,0.33333333333333337,0.11943262411347519,82.0,Min Ye,
83,1996.0,2025.0,3,3,,,2,,29.0,0,3,0,0.0,0.06382978723404255,0.15000000000000002,0.16666666666666666,0.07609929078014185,83.0,Loretta Roberts,
87,2013.0,2017.0,2,2,2017.0,2017.0,2,4.0,4.0,0,1,0,0.0,0.02127659574468085,0.1,0.16666666666666666,0.057588652482269506,87.0,Jun Gu,
89,2013.0,2013.0,1,True,,,1,,0.0,0,0,0,0.0,0.0,0.05,0.0,0.010000000000000002,89.0,Xiuying Dong,
90,2013.0,2029.0,3,3,2017.0,2017.0,3,4.0,16.0,1,1,0,0.03225806451612903,0.02127659574468085,0.15000000000000002,0.33333333333333337,0.11382521162205447,90.0,Xiulan Li,
93,2023.0,2024.0,2,2,2023.0,2023.0,1,0.0,1.0,0,0,0,0.0,0.0,0.1,0.0,0.020000000000000004,93.0,Jun Fan,
94,2023.0,2023.0,1,True,2023.0,2023.0,1,0.0,0.0,0,0,0,0.0,0.0,0.05,0.0,0.010000000000000002,94.0,Yan Yuan,
95,2023.0,2023.0,1,True,2023.0,2023.0,1,0.0,0.0,0,0,0,0.0,0.0,0.05,0.0,0.010000000000000002,95.0,Diana Johnson,
97,2023.0,2023.0,1,True,2023.0,2023.0,1,0.0,0.0,0,0,0,0.0,0.0,0.05,0.0,0.010000000000000002,97.0,Lei Zhou,
98,2023.0,2024.0,2,2,2023.0,2023.0,1,0.0,1.0,0,0,0,0.0,0.0,0.1,0.0,0.020000000000000004,98.0,Yong Yu,
99,1994.0,2029.0,7,7,1994.0,2023.0,4,0.0,35.0,3,1,0,0.0967741935483871,0.02127659574468085,0.35000000000000003,0.5,0.21296499656829102,99.0,Miki Hayashi,
103,1997.0,1997.0,1,True,,,1,,0.0,0,0,0,0.0,0.0,0.05,0.0,0.010000000000000002,103.0,Cristina Marenzio,
104,2000.0,2000.0,1,True,,,1,,0.0,0,0,0,0.0,0.0,0.05,0.0,0.010000000000000002,104.0,Enzio Caffarelli,
107,2020.0,2027.0,3,3,,,2,,7.0,2,0,0,0.06451612903225806,0.0,0.15000000000000002,0.16666666666666666,0.08913978494623656,107.0,Pompeo Turchi,
