artist_id,display_name,rank,rising_star_score,debut_year,latest_year,career_span,primary_genre,group_name,recent_notable_works,notable_works,total_works,notoriety_recency_score,outbound_influence,collab_with_popular_count,collab_score,genre_alignment_score,genre_diversity,prestige_score,prestige_label_count,prestige_group_count,influenced_by_popular_score,role_diversity,of_alignment_score,of_genre_prop,of_inf_prop,of_genre_works,of_influence_edges,recent_notable_works_norm,outbound_influence_norm,collab_with_popular_count_norm,notoriety_recency_score_norm,collab_score,genre_alignment_score_norm,genre_diversity_norm,prestige_score_norm,influenced_by_popular_score_norm,role_diversity_norm
17255,Sailor Shift,1,0.5208,2028.0,2040.0,12.0,Oceanus Folk,Ivy Echos,5,14,26,0.0,19,3,0.06999999999999999,21,1,1,0,1,19,2,0.5,1.0,0.0,26,0,1.0,0.7916666666666666,0.13043478260869565,0.0,0.06999999999999999,1.0,0.0,0.25,0.8260869565217391,0.5
1086,Chao Qiu,2,0.3663,2026.0,2029.0,3.0,Jazz Surf Rock,Coastal Horizon,0,5,5,0.0,21,13,0.11500000000000003,0,3,2,1,1,21,2,0.0,0.0,0.0,0,0,0.0,0.875,0.5652173913043478,0.0,0.11500000000000003,0.0,0.6666666666666667,0.5,0.9130434782608695,0.5
17146,Jude Rivers,3,0.3298,2034.0,2038.0,4.0,Indie Rock,Solo,4,6,8,0.0,13,0,0.0,8,1,0,0,0,12,2,0.0385,0.0,0.07692307692307693,0,1,0.8,0.5416666666666666,0.0,0.0,0.0,0.38095238095238093,0.0,0.0,0.5217391304347826,0.5
5368,Xia Dai,4,0.317,2025.0,2028.0,3.0,Dream Pop,Martial Harmonies,0,6,6,0.0,9,17,0.154,0,4,3,2,1,9,1,0.0,0.0,0.0,0,0,0.0,0.375,0.7391304347826086,0.0,0.154,0.0,1.0,0.75,0.3913043478260869,0.0
5370,Xiuying Xiang,4,0.317,2025.0,2028.0,3.0,Dream Pop,Martial Harmonies,0,6,6,0.0,9,17,0.154,0,4,3,2,1,9,1,0.0,0.0,0.0,0,0,0.0,0.375,0.7391304347826086,0.0,0.154,0.0,1.0,0.75,0.3913043478260869,0.0
17012,Sienna Fox,6,0.3163,2035.0,2038.0,3.0,Indie Rock,Solo,5,5,7,0.0,7,0,0.0,7,1,0,0,0,7,2,0.0714,0.0,0.14285714285714285,0,1,1.0,0.29166666666666663,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.30434782608695654,0.5
17349,Bea Azure,7,0.2973,2031.0,2035.0,4.0,Oceanus Folk,Copper Canyon Ghosts,1,8,8,0.09999999999999998,11,4,0.6688461538461539,8,1,1,0,1,11,2,0.5909,1.0,0.18181818181818182,8,2,0.2,0.4583333333333333,0.17391304347826086,0.09999999999999998,0.6688461538461539,0.38095238095238093,0.0,0.25,0.4782608695652174,0.5
8,David Franklin,8,0.2733,2026.0,2026.0,0.0,Lo-Fi Electronica,Green Haze Collective,0,1,2,0.0,24,3,0.0,0,1,2,1,1,23,2,0.0,0.0,0.0,0,0,0.0,1.0,0.13043478260869565,0.0,0.0,0.0,0.0,0.5,1.0,0.5
1084,Qiang Bai,9,0.2669,2026.0,2029.0,3.0,Post-Apocalyptic Folk,Coastal Horizon,0,4,4,0.0,15,7,0.04,0,3,2,1,1,15,2,0.0,0.0,0.0,0,0,0.0,0.625,0.30434782608695654,0.0,0.04,0.0,0.6666666666666667,0.5,0.6521739130434783,0.5
5366,Xiuying Song,10,0.2553,2025.0,2028.0,3.0,Dream Pop,Martial Harmonies,0,4,4,0.0,7,13,0.09800000000000002,0,3,3,2,1,7,3,0.0,0.0,0.0,0,0,0.0,0.29166666666666663,0.5652173913043478,0.0,0.09800000000000002,0.0,0.6666666666666667,0.75,0.30434782608695654,1.0
2607,Lisa Hart,11,0.2534,2026.0,2027.0,1.0,Doom Metal,Solo,0,3,3,0.0,16,8,0.034999999999999996,0,2,2,2,0,16,1,0.0625,0.0,0.125,0,2,0.0,0.6666666666666666,0.34782608695652173,0.0,0.034999999999999996,0.0,0.3333333333333333,0.5,0.6956521739130435,0.0
6055,Yong Fu,12,0.2496,2026.0,2028.0,2.0,Dream Pop,Lunar Pulse,0,3,3,0.0,16,12,0.0875,0,1,1,1,0,16,2,0.0,0.0,0.0,0,0,0.0,0.6666666666666666,0.5217391304347826,0.0,0.0875,0.0,0.0,0.25,0.6956521739130435,0.5
11332,Colleen Frank PhD,13,0.2485,2025.0,2027.0,2.0,Dream Pop,Solo,0,2,2,0.0,15,9,0.017499999999999998,0,2,2,2,0,15,1,0.0,0.0,0.0,0,0,0.0,0.625,0.3913043478260869,0.0,0.017499999999999998,0.0,0.3333333333333333,0.5,0.6521739130434783,0.0
